id,language,exposure_context
2,Russian,childcare
2,Armenian,childcare
3,English,childcare
5,English,childcare
6,English,childcare
9,English,childcare
10,English,childcare
11,English,childcare
11,English,childcare
12,English,childcare
13,English,childcare
14,English,childcare
14,Spanish,childcare
15,English,childcare
15,Hindi,childcare
17,Polish,childcare
18,Spanish,childcare
18,English,childcare
19,Spanish,childcare
20,French,childcare
20,English,childcare
2,English,home
3,English,home
5,English,home
6,English,home
7,English,home
9,English,home
10,English,home
11,English,home
12,English,home
13,English,home
14,English,home
15,English,home
16,English,home
17,English,home
18,English,home
19,English,home
20,English,home
2,Other,home
3,Spanish,home
9,Other,home
11,Spanish,home
15,Other,home
17,Other,home
19,Spanish,home
2,English,to_child
3,English,to_child
5,English,to_child
6,English,to_child
7,English,to_child
9,English,to_child
10,English,to_child
11,English,to_child
12,English,to_child
13,English,to_child
14,English,to_child
15,English,to_child
16,English,to_child
17,English,to_child
18,English,to_child
19,English,to_child
20,English,to_child
3,Spanish,to_child
7,Spanish,to_child
11,Spanish,to_child
19,Spanish,to_child
